id,overall_status,study_type,phase,sponsors,sponsors_class,start_date,completion_date,primary_completion_date,primary_purpose,enrollment,condition,location_countries,gender,age,intervention,primary_outcome,title
NCT00571389,Recruiting,Observational,,"BioCytics, Inc.",Industry,7-Nov-21,25-Feb-21,25-Feb-21,CASE-ONLY,1000,"SOLID TUMOR, ADULT",UNITED STATES,ALL,"18 Years and older   (Adult, Older Adult)",,,"A Study to Facilitate Development of an Ex-Vivo Device Platform for Circulating Tumor Cell and Immune Cell Harvesting, Banking, and Apoptosis-Viability Assay"
NCT01306084,Recruiting,Observational,,National Institute of Allergy and Infectious Diseases (NIAID),NIH,15-Mar-11,,,OTHER,1000,ANOGENITAL HERPES,UNITED STATES,ALL,"Child, Adult, Older Adult",,"SAMPLE COLLECTION, ANALYSIS OF IMMUNE FUNCTION, OR REVIEW OF TISSUE BX OR CLINICAL RPTS FROM OUTSIDE LABS IN DESIGNATED POP. W/ VIRAL, SUSPECTED, OR RECOVERED FROM A VIRAL INFECTION OR A CLOSE CONTACT OF PEOPLE W/OR SUSPECTED TO HAVE A VIRAL INF...",Viral Infections in Healthy and Immunocompromised Hosts
NCT02735707,Recruiting,Interventional,Phase 4,MJM Bonten,Other,11-Apr-16,23-Dec-21,21-Dec-21,TREATMENT,7100,"COMMUNITY-ACQUIRED PNEUMONIA, INFLUENZA, COVID",AUSTRALIA,ALL,"18 Years and older   (Adult, Older Adult)",FIXED-DURATION HYDROCORTISONE,ALL-CAUSE MORTALITY,"Randomized, Embedded, Multifactorial Adaptive Platform Trial for Community- Acquired Pneumonia"
NCT02765191,Recruiting,Interventional,Not Applicable,Uppsala University,Other,16-Apr-21,25-Oct-21,21-Oct-21,OTHER,20,"SEPSIS, SEVERE",SWEDEN,ALL,"18 Years and older   (Adult, Older Adult)",PLASMA EXPANSION WITH RINGER'S ACETATE,CHANGE IN RENAL BLOOD FLOW AND RENAL OXYGENATION AFTER STANDARDIZED PLASMA EXPANSION WITH FLUID BOLUS,MR-Evaluation of Renal Function In Septic Patients
NCT02788903,"Active, not recruiting",Observational,,Milton S. Hershey Medical Center,Other,16-Mar-21,21-Feb-21,21-Feb-21,COHORT,2000000,OBESITY,,ALL,"18 Years and older   (Adult, Older Adult)",WEIGHT COUNSELING,WEIGHT CHANGE,A Patient-Centered PaTH to Addressing Diabetes: Impact of State Health Policies on Diabetes Outcomes and Disparities
NCT03042143,Recruiting,Interventional,Phase 1/Phase 2,Belfast Health and Social Care Trust,Other,7-Jan-19,22-Oct-21,20-Sep-21,TREATMENT,75,ACUTE RESPIRATORY DISTRESS SYNDROME,UNITED KINGDOM,ALL,"16 Years and older   (Child, Adult, Older Adult)",HUMAN UMBILICAL CORD DERIVED CD362 ENRICHED MSCS,OXYGENATION INDEX (OI),"Repair of Acute Respiratory Distress Syndrome by Stromal Cell Administration (REALIST): An Open Label Dose Escalation Phase 1 Trial Followed by a Randomized, Double-blind, Placebo-controlled Phase 2 Trial (COVID-19)"
NCT03183570,Recruiting,Interventional,Early Phase 1,Stanford University,Other,8-Nov-17,14-Apr-23,14-Apr-22,DIAGNOSTIC,30,IDIOPATHIC PULMONARY FIBROSIS,UNITED STATES,ALL,"18 Years and older   (Adult, Older Adult)",[18F]FP-R01-MG-F2,"SUV MAX COMPARISON : IPF VERSUS HEALTHY LUNG, PSC VERSUS HEALTHY LIVER, COVID19 VERSUS HEALTHY LUNG","Detection of Integrin avb6 in Idiopathic Pulmonary Fibrosis, Primary Sclerosing Cholangitis, and Coronavirus Disease 2019 With [18F]FP-R01-MG-F2 With PET/CT"
NCT03188796,Recruiting,Interventional,Phase 3,Medical University of Graz,Other,10-Oct-17,23-Feb-21,22-Dec-21,TREATMENT,2400,CRITICAL ILLNESS,AUSTRIA,ALL,"18 Years to 100 Years   (Adult, Older Adult)",CHOLECALCIFEROL,28-DAY MORTALITY,"The VITDALIZE Study: Effect of High-dose Vitamin D3 on 28-day Mortality in Adult Critically Ill Patients With Severe Vitamin D Deficiency: a Multicenter, Placebo-controlled Double-blind Phase III Randomized Controlled Trial (RCT)"
NCT03226886,Recruiting,Observational,,Royal Marsden NHS Foundation Trust,Other,5-Feb-12,1-Sep-23,1-Sep-23,OTHER,360,RENAL CELL CARCINOMA,UNITED KINGDOM,ALL,"18 Years and older   (Adult, Older Adult)",,TO VALIDATE ITH INDEX AND WGII AS STAGE AND GRADE INDEPENDENT PROGNOSTIC MARKERS OF PROGRESSION FREE SURVIVAL IN PATIENTS WITH CCRCC MUTATION IN A GENE OF INTEREST,TRACERx Renal (TRAcking Renal Cell Carcinoma Evolution Through Therapy (Rx)) CAPTURE: COVID-19 Antiviral Response in a Pan-tumour Immune Study
NCT03256773,Recruiting,Observational,,University of Alabama at Birmingham,Other,15-Apr-16,31-Dec-22,31-Dec-21,COHORT,60,CYSTIC FIBROSIS,UNITED STATES,ALL,"14 Years and older   (Child, Adult, Older Adult)",,FEASIBILITY OF UOCT PROBE,Imaging of Human Epithelial Airway Using a High Resolution Micro OCT Catheter (Functional Anatomic Imaging of CF Patients With Early Lung Disease Using Micro OCT)
